CLAVE|DESCRIPCION|DESCRIPCION_BUSQUEDA|LINEA|GRABADO|COLOR|LONGITUD|ANCHO|ESPESOR|PRECIO|INVENTARIO
1.22*12.20OP6|POL. CELULAR 1.22*12.20 BLANCO 6.0MM|POLICARBONATO CELULAR 122X1220 BLANCO 6MM|POL|LISO|BLANCO|12.2|1.22|6|3036|
1.22*2.44C6|POL. CELULAR 1.22*2.44 CRISTAL  6.0MM|POLICARBONATO CELULAR 122X244 CRISTAL 6MM|POL|LISO|CRISTAL|2.44|1.22|6|580|
12*12OP6|POL.CELULAR 1.22*1.22  CRISTAL  6.0MM|POLICARBONATO CELULAR 122X122 CRISTAL 6MM|POL|LISO|CRISTAL|1.22|1.22|6|2902|
122*1220A6|POL. CELULAR 1.22*12.20 AZUL 6.0MM|POLICARBONATO CELULAR 122X1220 AZUL 6MM|POL|LISO|AZUL|12.2|1.22|6|3036|
122*1220B6|POL. CELULAR 1.22*12.20 BRONCE 6.0MM|POLICARBONATO CELULAR 122X1220 BRONCE 6MM|POL|LISO|BRONCE|12.2|1.22|6|3036|
122*1220B8|POL. CELULAR 1.22*12.20 BRONCE 8.0MM|POLICARBONATO CELULAR 122X1220 BRONCE 8MM|POL|DOLARES|BRONCE|12.2|1.22|8|0|
122*1220C8|POL. CELULAR 1.22*12.20 CRISTAL 8.0MM|POLICARBONATO CELULAR 122X1220 CRISTAL 6MM|POL|LISO|CRISTAL|12.2|1.22|8|0|
122*1220G6|POL. CELULAR 1.22*12.20 GRIS 6.0MM|POLICARBONATO CELULAR 122X1220 GRIS 6MM|POL|LISO|GRIS|12.2|1.22|6|3036|
122*1220OP8|POL. CELULAR 1.22*12.20 BLANCO 8.0MM|POLICARBONATO CELULAR 122X1220 BLANCO 6MM|POL|LISO|BLANCO|12.2|1.22|8|0|
122*1220V6|POL. CELULAR 1.22*12.20 VERDE 6.0MM|POLICARBONATO CELULAR 122X1220 VERDE 6MM|POL|LISO|VERDE|12.2|1.22|6|3036|
122*244A6|POL. CELULAR 1.22*2.44 AZUL 6.0MM|POLICARBONATO CELULAR 122X244 AZUL 6MM|POL|LISO|AZUL|2.44|1.22|6|607|
122*244B6|POL. CELULAR  1.22*2.44 BRONCE 6.0MM|POLICARBONATO CELULAR 122X244 BRONCE 6MM|POL|LISO|BRONCE|2.44|1.22|6|607|
122*244B6E|POL. SOLIDO 1.22*2.44 EXT. BRONCE 6.0MM|POLICARBONATO SOLIDO 122X244 EXTERIOR BRONCE 6MM|POL SOL|DOLARES|BRONCE|2.44|1.22|6|0|
122*244C3EXT|POL. SOLIDO 1.22*2.44 EXT. CRISTAL 3.0MM|POLICARBONATO SOLIDO 122X244 EXTERIOR CRISTAL 3MM|POL SOL|DOLARES|CRISTAL|2.44|1.22|3|0|
122*244CS6I|POL. SOLIDO 1.22*2.44 INT. CRISTAL 6.0MM|POLICARBONATO SOLIDO 122X244 INTERIOR CRISTAL 6MM|POL SOL|DOLARES|CRISTAL|2.44|1.22|6|0|
122*244CSI|POL. SOLIDO 1.22*2.44 INT. CRISTAL 3.0MM|POLICARBONATO SOLIDO 122X244 INTERIOR CRISTAL 3MM|POL SOL|DOLARES|CRISTAL|2.44|1.22|3|0|
122*244G6|POL. CELULAR 1.22*2.44 GRIS 6.0MM|POLICARBONATO CELULAR 122X244 GRIS 6MM|POL|LISO|GRIS|2.44|1.22|6|607|
122*244OP6|POL. CELULAR 1.22*2.44 BLANCO 6.0MM|POLICARBONATO CELULAR 122X244 BLANCO 6MM|POL|LISO|BLANCO|2.44|1.22|6|607|
122*244V6|POL. CELULAR 1.22*2.44 VERDE 6.0MM|POLICARBONATO CELULAR 122X244 VERDE 6MM|POL|LISO|VERDE|2.44|1.22|6|607|
122*366A6|POL. CELULAR 1.22*3.66 AZUL 6.0MM|POLICARBONATO CELULAR 122X366 AZUL 6MM|POL|LISO|AZUL|3.66|1.22|6|911|
122*366B6|POL. CELULAR 1.22*3.66 BRONCE 6.0MM|POLICARBONATO CELULAR 122X366 BRONCE 6MM|POL|LISO|BRONCE|3.66|1.22|6|911|
122*366C6|POL. CELULAR 1.22*3.66 CRISTAL 6.0MM|POLICARBONATO CELULAR 122X366 CRISTAL 6MM|POL|LISO|CRISTAL|3.66|1.22|6|871|
122*366G6|POL. CELULAR 1.22*3.66 GRIS 6.0MM|POLICARBONATO CELULAR 122X366 GRIS 6MM|POL|LISO|GRIS|3.66|1.22|6|911|
122*366OP6|POL. CELULAR 1.22*3.66 BLANCO 6.0MM|POLICARBONATO CELULAR 122X366 BLANCO 6MM|POL|LISO|BLANCO|3.66|1.22|6|911|
122*366V6|POL. CELULAR 1.22*3.66 VERDE 6.0MM|POLICARBONATO CELULAR 122X366 VERDE 6MM|POL|LISO|VERDE|3.66|1.22|6|911|
122*488A6|POL. CELULAR 1.22*4.88 AZUL 6.0MM|POLICARBONATO CELULAR 122X488 AZUL 6MM|POL|LISO|AZUL|4.88|1.22|6|1215|
122*488B6|POL. CELULAR 1.22*4.88 BRONCE 6.0MM|POLICARBONATO CELULAR 122X488 BRONCE 6MM|POL|LISO|BRONCE|4.88|1.22|6|1215|
122*488C6|POL. CELULAR 1.22*4.88 CRISTAL 6.0MM|POLICARBONATO CELULAR 122X488 CRISTAL 6MM|POL|LISO|CRISTAL|4.88|1.22|6|1161|
122*488G6|POL. CELULAR 1.22*4.88 GRIS 6.0MM|POLICARBONATO CELULAR 122X488 GRIS 6MM|POL|LISO|GRIS|4.88|1.22|6|1215|
122*488OP6|POL. CELULAR 1.22*4.88 BLANCO 6.0MM|POLICARBONATO CELULAR 122X488 BLANCO 6MM|POL|LISO|BLANCO|4.88|1.22|6|1215|
122*488V6|POL.CELULAR 1.22*4.88 VERDE 6.0MM|POLICARBONATO CELULAR 122X488 VERDE 6MM|POL|LISO|VERDE|4.88|1.22|6|1215|
